ID,Name,Type,Price,ReviewsCount,Rating,City,State
276,Budget Hotel Le Beau Rivage,Small Double Room with Shower ,133.82,394,9.3,Middelburg,Zeeland
277,Hotel Le Beau Rivage,Superior Double Room,175.12,278,9.2,Middelburg,Zeeland
278,Boutique Hotel De Vier Patriciërs,Deluxe Room,223.62,192,9.3,Middelburg,Zeeland
279,Hotel Bruno,Budget Twin Room,76.34,528,8.6,Middelburg,Zeeland
280,Studio 82 b,One-Bedroom Apartment,78.05,51,8.5,Middelburg,Zeeland
281,Studio 82 a,One-Bedroom Apartment,93.36,64,8.5,Middelburg,Zeeland
282,Cleen Rochelle,Deluxe Studio,97.89,78,8.5,Middelburg,Zeeland
283,Stadsstudio 't Stadshuys in hartje Middelburg,One-Bedroom Apartment,105.07,5,8.6,Middelburg,Zeeland
284,Logement de Spaerpot,Double Room with Private Bathroom,107.77,164,8.9,Middelburg,Zeeland
285,Loskade 45,Deluxe Double Room with Balcony,133.82,1050,8.9,Middelburg,Zeeland
286,ApartHotel Waepen van Middelburg,Deluxe King Studio,134.71,500,8.9,Middelburg,Zeeland
287,bednextdoor,Deluxe Double Studio,134.71,234,8.8,Middelburg,Zeeland
288,Van der Valk Hotel Middelburg,Standard Twin Room,156.27,1315,8.8,Middelburg,Zeeland
289,Hotel Brasserie de Huifkar,Double Room with City View,110.35,326,8.1,Middelburg,Zeeland
290,De Kaepstander,Double Room with Private Bathroom,132.02,281,8.4,Middelburg,Zeeland
291,Hotel en privé-wellness De Nieuwe Doelen,Superior Double Room,152.67,1312,8.2,Middelburg,Zeeland
292,Hotel Middelburg,Twin Room,119.83,1240,7.7,Middelburg,Zeeland
293,Fletcher Hotel-Restaurant Middelburg,Small Double Room,133.82,947,7.2,Middelburg,Zeeland
294,Fletcher Hotel-Restaurant Arneville-Middelburg,Double Room,142.79,500,7.3,Middelburg,Zeeland
295,Verrassende Loft BNB centrum Middelburg,Three-Bedroom Apartment,189.75,1,5.0,Middelburg,Zeeland
296,Hotel Oranjestaete,Studio - Souterrain,107.77,1021,9.2,Nijmegen,Gelderland
297,Hotel Sleep-Inn Box 5,Double Room,134.71,520,9.2,Nijmegen,Gelderland
298,Boutique Hotel Straelman,Double Room,151.78,324,9.4,Nijmegen,Gelderland
299,B&B Stadsoase Nijmegen,Two-Bedroom House,269.42,42,9.3,Nijmegen,Gelderland
300,Van der Valk Hotel Nijmegen-Lent,Standard Double Room,110.46,500,8.8,Nijmegen,Gelderland
301,Blue Inspired by Manna,Small Double Room,124.83,1081,8.7,Nijmegen,Gelderland
302,Manna,Studio S Charity,133.82,388,8.7,Nijmegen,Gelderland
303,B&B Appartementen Smedery,Deluxe Apartment,134.71,57,8.6,Nijmegen,Gelderland
304,Studio RoSa,Studio Apartment,80.63,86,8.3,Nijmegen,Gelderland
305,Van der Valk Cuijk - Nijmegen,Comfort Room,87.56,500,8.1,Nijmegen,Gelderland
306,Mercure Hotel Nijmegen Centre,Standard Double Room,102.38,1343,8.2,Nijmegen,Gelderland
307,Hotel Credible,Budget Double Room,148.46,935,8.4,Nijmegen,Gelderland
308,Sanadome Nijmegen,Deluxe Double or Twin Room with Spa Access,175.12,725,8.0,Nijmegen,Gelderland
309,Bastion Hotel Nijmegen,Deluxe King Room,93.40,500,7.8,Nijmegen,Gelderland
310,Hotel Courage Waalkade,Standard Room with Park View,95.19,1467,7.7,Nijmegen,Gelderland
311,Hotel Pauw,Budget Twin Room,108.67,368,7.8,Nijmegen,Gelderland
312,Hotel de Prince,Premium Double Room,117.35,500,7.8,Nijmegen,Gelderland
313,Hotel De Gulden Waagen,Double Room,215.53,500,7.8,Nijmegen,Gelderland
314,De Hemel De Kracht van Ambacht,Junior Suite,91.61,94,7.0,Nijmegen,Gelderland
315,Apollo Hotel,Twin Room,98.79,1172,7.4,Nijmegen,Gelderland
316,B&B N10,Deluxe King Room,124.83,500,9.6,Roermond,Limburg
317,De Pastorie Bed & Breakfast,Twin Room,94.05,923,9.2,Roermond,Limburg
318,B&B De Hofnar Roermond,Standard Twin Room,94.30,509,9.1,Roermond,Limburg
319,Grand Hotel Valies,Comfort Triple Room with Shower,147.28,3288,9.1,Roermond,Limburg
320,Het Arresthuis,Comfort Double Room,174.23,500,9.4,Roermond,Limburg
321,Kasteeltje Hattem,Junior Suite,178.72,240,9.3,Roermond,Limburg
322,Hotel Dux,Executive Double Room,183.21,1232,9.2,Roermond,Limburg
323,Hotel Restaurant Café Parkzicht,Double Room,73.28,694,8.9,Roermond,Limburg
324,B&B Willem II,Twin Room with Private Bathroom,94.74,1118,8.8,Roermond,Limburg
325,BBDeStaete,King Room with Balcony,109.16,107,8.8,Roermond,Limburg
326,Nero Office Hotel & City Café,Standard Double or Twin Room,113.37,507,8.5,Roermond,Limburg
327,De Oolderhof,Junior Suite,118.55,992,8.7,Roermond,Limburg
328,Hotel Roermond,Suite,139.21,3272,8.7,Roermond,Limburg
329,Hotel en Grand Café De Pauw,Standard Double Room,85.32,765,8.0,Roermond,Limburg
330,Hotel Roermond Next Door,Comfort Twin Room,85.32,1088,8.0,Roermond,Limburg
331,Hotel de Abdij,Triple Room,130.22,846,8.1,Roermond,Limburg
332,Van der Valk TheaterHotel De Oranjerie,Comfort Double or Twin Room,150.88,500,8.3,Roermond,Limburg
333,De Roermondse beleving,Twin Room with Shower,72.22,500,7.7,Roermond,Limburg
334,Hotel Asselt,Standard Twin Room,92.50,782,7.4,Roermond,Limburg
335,Fletcher Landhotel Bosrijk Roermond,Small Double Room,93.40,942,6.5,Roermond,Limburg
336,Bed and Breakfast Rotterdam,Double Room with Private External Bathroom,74.73,244,9.1,Delfshaven, Rotterdam
337,Hotel âme,Small Basic Room,97.48,167,9.1,Centrum, Rotterdam
338,Suitehotel Pincoffs,Double Room with Mezzanine,118.59,500,9.0,Feijenoord, Rotterdam
339,"Bed, Bites & Business Hotel Rotterdam",Double Room with Balcony,141.39,500,9.2,Feijenoord, Rotterdam
340,Sparks Hostel,Comfort Quadruple Room,167.05,1635,9.0,Centrum, Rotterdam
341,Wikkelboat Nr1 at Floating Rotterdam Rijnhaven,Two-Bedroom House,214.96,500,9.2,Feijenoord, Rotterdam
342,Wikkelboat Nr5 at Floating Rotterdam Rijnhaven,Three-Bedroom House,401.38,500,9.0,Feijenoord, Rotterdam
343,CityHub Rotterdam,Hub,65.18,500,8.8,Centrum, Rotterdam
344,B&B Unitas,Standard Twin Room,68.86,184,8.8,Feijenoord, Rotterdam
345,The James Rotterdam,Economy Double Room,77.64,6631,8.8,Centrum, Rotterdam
346,Room Mate Bruno,Basic Room Double or Twin Room,92.07,500,8.7,Feijenoord, Rotterdam
347,Savoy Hotel Rotterdam,Double Room,95.77,500,8.5,Centrum, Rotterdam
348,Hotel New York,Double Room with Courtyard View,104.96,500,8.7,Feijenoord, Rotterdam
349,Supernova Hotel,Standard Double Room,106.43,1000,8.9,Centrum, Rotterdam
350,Hotel Unplugged,Standard Double Room,115.85,1723,8.5,Centrum, Rotterdam
351,"The Slaak Rotterdam, a Tribute Portfolio Hotel",Standard King Room,121.37,1036,8.7,Kralingen-Crooswijk, Rotterdam
352,citizenM Rotterdam,King Room,124.83,500,8.8,Centrum, Rotterdam
353,PREMIER SUITES PLUS Rotterdam,One-Bedroom Apartment,127.57,500,8.9,Centrum, Rotterdam
354,Hotel Van Walsum,Comfort Double or Twin Room,129.33,500,8.5,Centrum, Rotterdam
355,Hostel ROOM Rotterdam,Family Room with Balcony and Shared Bathroom,150.94,1360,8.5,Centrum, Rotterdam
356,Boathotel Rotterdam Wilhelmina,Apartment,302.29,22,8.6,Centrum, Rotterdam
357,The Student Hotel Rotterdam,Standard Double,60.35,500,8.3,Kralingen-Crooswijk, Rotterdam
358,Hotel Breitner,Standard Double Room,61.30,500,8.3,Centrum, Rotterdam
359,ss Rotterdam Hotel en Restaurants,Twin Standard,71.93,500,8.3,Feijenoord, Rotterdam
360,Stayokay Hostel Rotterdam,Twin Room with Private Bathroom and Shower,83.14,500,8.0,Centrum, Rotterdam
361,Boulevard Hotel Scheveningen,Comfort Twin Room with Shower,132.46,1586,8.6,Scheveningen,The Hague
362,Ramada The Hague Scheveningen,Standard Twin Room,141.90,500,8.5,Scheveningen,The Hague
363,Aquarius Hotel,Comfort Double Room,143.69,2458,8.5,Scheveningen,The Hague
364,Hotel De Stern,Budget Double Room,116.75,550,8.3,Scheveningen,The Hague
365,Fletcher Hotel-Restaurant Scheveningen,Double Room,129.33,937,8.0,Scheveningen,The Hague
366,limehome Den Haag Keizerstraat,Suite,138.30,500,8.4,Scheveningen,The Hague
367,Inntel Hotels Den Haag Marina Beach,City Twin Room,143.69,1801,8.1,Scheveningen,The Hague
368,De Pier Suites,Penthouse Room with Beach View,176.92,1567,8.4,Scheveningen,The Hague
369,Sea Breeze loft apartment II,One-Bedroom Apartment,241.58,22,8.3,Scheveningen,The Hague
370,easyHotel The Hague Scheveningen Beach,Standard Double Room,93.40,3724,7.6,Scheveningen,The Hague
371,Badhotel Scheveningen,Standard Twin Room,110.46,3750,7.6,Scheveningen,The Hague
372,Carlton Beach,Double Room with Balcony,136.51,500,7.7,Scheveningen,The Hague
373,Jordans Residence,Studio with Sea View,162.55,610,7.6,Scheveningen,The Hague
374,Hotel Albion,Deluxe Twin Room,214.19,324,7.6,Scheveningen,The Hague
375,Hotel Andante aan Zee,Double Room,103.46,4276,7.2,Scheveningen,The Hague
376,ibis Styles Den Haag Scheveningen,Standard Room,115.85,1218,7.4,Scheveningen,The Hague
377,Bilderberg Europa Hotel Scheveningen,Comfort Double Room,133.82,500,7.1,Scheveningen,The Hague
378,Hotel 't Sonnehuys,Double Room,153.57,247,7.2,Scheveningen,The Hague
379,Grand Hotel Amrâth Kurhaus The Hague Scheveningen,Superior Double Room,172.48,7748,7.2,Scheveningen,The Hague
380,Hotel 't Witte Huys Scheveningen,Double Room,165.24,758,6.6,Scheveningen,The Hague
381,New City Hotel Scheveningen,Standard Double Room,107.77,1149,6.2,Scheveningen,The Hague
382,Ben's Boutique Hotel,Standard Double Room,117.65,91,6.4,Scheveningen,The Hague
383,Slapen onder de Dom,Deluxe Double Room,134.71,136,9.3,City Centre, Utrecht
384,Logement Swaenenvecht,Deluxe Double Room,130.22,425,9.0,Utrecht,Utrecht
385,Werfkelder aan de Oudegracht,Apartment,146.39,500,9.3,City Centre, Utrecht
386,Logement Petit Beijers,Superior Double Room,140.10,362,9.4,City Centre, Utrecht
387,MUZE Hotel Utrecht,Deluxe Double Room with Bath,148.18,418,9.3,City Centre, Utrecht
388,The Nox Hotel,Small Double Room,148.18,351,9.0,City Centre, Utrecht
389,Hotel Beijers,Standard Double Room,161.66,724,9.2,City Centre, Utrecht
390,Stayokay Hostel Utrecht Centrum,Comfort Double with Private Bathroom and Shower,102.38,500,8.5,City Centre, Utrecht
391,Eye Hotel,Small Double Room,120.30,500,8.7,City Centre, Utrecht
392,Van der Valk Hotel Utrecht,Comfort Double Room,123.49,500,8.6,Zuidwest, Utrecht
393,Inntel Hotels Utrecht Centre,City Double Room,129.33,3803,8.5,City Centre, Utrecht
394,The Hunfeld,Small Double Room,130.97,903,8.7,City Centre, Utrecht
395,Brass,Superior King Room,144.84,508,8.6,City Centre, Utrecht
396,Mother Goose Hotel,Small Double Room,151.78,500,8.9,City Centre, Utrecht
397,Hotel Simple,Deluxe Suite,145.49,787,8.7,City Centre, Utrecht
398,B&B Utrecht Domkwartier,Large Double Room,159.07,241,8.7,City Centre, Utrecht
399,Hotel Museumkwartier Utrecht,Twin Room with City View,160.75,656,8.8,City Centre, Utrecht
400,Grand Hotel Karel V,Standard Double or Twin Room,171.57,500,8.9,City Centre, Utrecht
401,Strowis Hostel,Standard Twin Room with Shared Bathroom,85.49,555,8.2,City Centre, Utrecht
402,Carlton President,Standard Twin Room,105.07,500,8.4,West, Utrecht
403,Moxy Utrecht,Queen Room,99.87,895,8.4,Zuid, Utrecht
404,BUNK Hotel Utrecht,Bunk Room,107.77,3250,8.4,City Centre, Utrecht
405,City Center Lodge Utrecht,bunk,112.26,265,8.2,Utrecht,Utrecht
406,Hotel Mitland,Deluxe Double Room Ground Floor,119.20,500,8.3,Noordoost, Utrecht
407,Hampton By Hilton Utrecht Centraal Station,Queen Room,125.73,500,8.4,City Centre, Utrecht
408,Vakantiewoning Valkenburg,Two-Bedroom Apartment,114.06,500,9.2,Valkenburg,Limburg
409,Appartementen Leonardus,One-Bedroom Apartment,124.83,612,9.1,Valkenburg,Limburg
410,Villa R einald,Deluxe King Room,152.22,22,9.1,Valkenburg,Limburg
411,Pension Auberge de Dael,Double Room with Private Bathroom,97.89,556,8.5,Valkenburg,Limburg
412,Hotel De Wilde Kriek - before De Karsteboom,Small Double Room,107.77,524,8.6,Valkenburg,Limburg
413,Boutique Hotel Scheepers,Economy Double Room,152.22,1125,8.6,Valkenburg,Limburg
414,De Heek,Comfort Double Room with Shower,172.43,346,8.6,Valkenburg,Limburg
415,Château St. Gerlach,One-Bedroom Apartment,277.51,500,8.6,Valkenburg,Limburg
416,Huis Ter Geul,Double Room,86.22,500,8.1,Valkenburg,Limburg
417,Hotel Valkenburg by Mercure,Comfort Double Room,113.16,2760,8.1,Valkenburg,Limburg
418,Hotel Hulsman,Standard Double Room with Rain Shower,121.24,993,8.4,Valkenburg,Limburg
419,Hampshire Hotel  Voncken Valkenburg,Double Room,161.66,753,8.0,Valkenburg,Limburg
420,Hotel Lahaye,Standard Double Room with Shared Bathroom,49.39,903,7.7,Valkenburg,Limburg
421,Grand Hotel Monopole,Comfort Double Room,80.83,988,7.9,Valkenburg,Limburg
422,Dormio Wijnhotel Valkenburg,Standard Queen Room,88.91,739,7.6,Valkenburg,Limburg
423,Hotel Dupuis,Quadruple Room with Bunk Beds and Shared Bathroom,117.65,611,7.9,Valkenburg,Limburg
424,Mimosa Hotel,Standard Double Room with Shared Bathroom,118.55,542,7.6,Valkenburg,Limburg
425,Hotel de L'Empereur,Standard Double Room,130.22,38,7.9,Valkenburg,Limburg
426,Atlas Hotel,Classic Double Room,143.69,2102,7.8,Valkenburg,Limburg
427,Hotel La Casa,Family Room,163.81,827,7.8,Valkenburg,Limburg
428,Hotel Atlanta,Standard Double Room,185.00,1355,7.9,Valkenburg,Limburg
429,Parkhotel Valkenburg,Standard Double Room,218.99,500,7.8,Valkenburg,Limburg
430,Hotel Rido,Twin Room with Shared Bathroom,62.87,241,7.3,Valkenburg,Limburg
431,Hotel Schaepkens van St Fijt,Standard Double Room,153.57,500,7.0,Valkenburg,Limburg
432,Hotel Gaudi,Budget Double Room with Shared Bathroom,92.05,386,6.8,Valkenburg,Limburg
433,Zeilschip Lucia,Mobile Home,193.99,5,9.6,Vlissingen,Zeeland
434,De Gevangentoren Suite,Deluxe Suite with Sea View,369.86,172,9.5,Vlissingen,Zeeland
435,Westerschelde B&B,Double Room with Balcony (2 Adults + 1 Child),89.66,500,9.2,Vlissingen,Zeeland
436,Anna van Chiel,Junior Suite,138.81,43,9.3,Vlissingen,Zeeland
437,Hotel de Timmerfabriek I Kloeg Collection,Court Lodge,143.57,500,8.6,Vlissingen,Zeeland
438,La vie Est Belle Vlissingen,Two-Bedroom Chalet,162.94,500,8.7,Vlissingen,Zeeland
439,"Rijksmonument Havenzicht, met zeezicht, ligging direct aan zee en centrum",Six-Bedroom House,353.49,528,8.5,Vlissingen,Zeeland
440,Bed & Breakfast House of Grace,Double Room with Private Bathroom,96.99,13,8.4,Vlissingen,Zeeland
441,Boutique Hotel Lupo,Small Double Room,124.83,431,8.4,Vlissingen,Zeeland
442,Belgische Loodsensociëteit,Double Room with City View,127.17,500,8.0,Vlissingen,Zeeland
443,Mo's place,One-Bedroom Apartment,137.08,21,8.0,Vlissingen,Zeeland
444,Fletcher Hotel-Restaurant Arion-Vlissingen,Deluxe Double Room,187.69,2958,8.0,Vlissingen,Zeeland
445,"Appartement Havenzicht, gelegen aan zee met zeezicht",Apartment with Sea View,275.89,528,8.2,Vlissingen,Zeeland
446,Stad & Strandhotel Elisabeth,Double Room with Private External Bathroom,98.29,913,7.7,Vlissingen,Zeeland
447,Hotel Restaurant Piccard,Standard Double Room (Pets not Allowed),114.66,784,7.6,Vlissingen,Zeeland
448,Stadshotel Vlissingen,Standard Double Room,117.19,345,7.7,Vlissingen,Zeeland
449,Hotelboot Koningin Emma I Kloeg Collection,Deluxe Room,141.78,500,7.5,Vlissingen,Zeeland
450,Hotel Truida,Twin Room with City View (Elevator access),152.67,658,7.7,Vlissingen,Zeeland
451,B&B by the C,Deluxe King Room,89.23,78,7.3,Vlissingen,Zeeland
452,City Hostel Vlissingen,Comfort Quadruple Room,139.67,573,7.3,Vlissingen,Zeeland
453,City2Beach Hotel,Comfort Twin Room,155.19,754,7.3,Vlissingen,Zeeland
454,Bed & Breakfast Vlissingen,Double Room with Shared Bathroom,56.56,1167,6.9,Vlissingen,Zeeland
455,Uniek verblijf aan zee,Caravan,108.64,15,6.9,Vlissingen,Zeeland
456,Hotel De Leugenaar,Twin Room with City View,129.33,715,6.9,Vlissingen,Zeeland
457,Cosy sailingboat in Vlissingen,Mobile Home,107.77,6,3.7,Vlissingen,Zeeland
458,2-persoons Hotellodge,One-Bedroom Apartment,116.75,3,9.0,Voorthuizen,Gelderland
459,The Black Oak - Luxe bungalow met prive sauna,Two-Bedroom House,193.99,27,9.4,Voorthuizen,Gelderland
460,Bunckman 10 pers. bungalow,Five-Bedroom Apartment,268.52,18,8.5,Voorthuizen,Gelderland
461,Voorde 16 pers. bungalow,Eight-Bedroom Apartment,484.96,2,8.5,Voorthuizen,Gelderland
462,Hotel de Boshoek,Twin Room with Private Bathroom,93.51,567,8.5,Voorthuizen,Gelderland
463,Studio Recreatiepark De Boshoek-5,Studio,83.52,3,8.3,Voorthuizen,Gelderland
464,Studio Recreatiepark De Boshoek-2,Studio,83.52,8,8.4,Voorthuizen,Gelderland
465,Studio Recreatiepark De Boshoek-4,Studio,83.52,1,8.0,Voorthuizen,Gelderland
466,Ruim en fris chalet aan de bosrand,Two-Bedroom Chalet,81.91,1,8.0,Voorthuizen,Gelderland
467,4 pers. Veluwelodge met Sauna,Two-Bedroom Apartment,140.10,1,8.0,Voorthuizen,Gelderland
468,Landgoed De Ijsvogel,Double Room,165.26,500,8.0,Voorthuizen,Gelderland
469,2 2-persoons Hotel kamer,Two-Bedroom Apartment,201.17,1,8.0,Voorthuizen,Gelderland
470,Studio Recreatiepark De Boshoek-6,Studio,83.52,3,7.7,Voorthuizen,Gelderland
471,6-persoons Veluwe Villa,Three-Bedroom Villa,141.90,4,7.8,Voorthuizen,Gelderland
472,Wellness Lodges x De IJsvogel,One-Bedroom House,341.91,500,7.5,Voorthuizen,Gelderland
473,Recreatiepark de Boshoek,Two-Bedroom Chalet,208.56,24,7.2,Voorthuizen,Gelderland
474,Studio Recreatiepark De Boshoek-3,Studio,83.52,104,8.2,Voorthuizen,Gelderland
475,4 pers. Veluwelodge,Two-Bedroom Apartment,120.34,104,8.2,Voorthuizen,Gelderland
476,Heuveltjes 4 pers. bungalow,Two-Bedroom Apartment,124.83,104,8.2,Voorthuizen,Gelderland
477,4 pers. Veluwelounge,Two-Bedroom Apartment,125.73,104,8.2,Voorthuizen,Gelderland
478,6-persoons Veluwelodge XL,Three-Bedroom Apartment,126.63,104,8.2,Voorthuizen,Gelderland
479,6-persoons Familielodge,Three-Bedroom House,130.22,104,8.2,Voorthuizen,Gelderland
480,Zeumeren 6 pers. bungalow,Three-Bedroom Apartment,150.88,104,8.2,Voorthuizen,Gelderland
481,6 pers. Veluwelodge XL met Sauna,Three-Bedroom Apartment,153.57,104,8.2,Voorthuizen,Gelderland
482,6-person Veluwe Villa - copy -,Three-Bedroom House,166.14,104,8.2,Voorthuizen,Gelderland
483,Pension Sixtysix,Deluxe Studio,94.47,262,9.1,Zandvoort,North Holland
484,Queens Romantic Beachhouse,One-Bedroom Apartment,115.26,41,9.1,Zandvoort,North Holland
485,Beach&Dunes Studio,Studio Apartment,154.41,49,9.1,Zandvoort,North Holland
486,Het Lichthuis,One-Bedroom Apartment,179.17,500,9.0,Zandvoort,North Holland
487,Boutique Hotel LEBAR,Deluxe King Studio,190.04,15,9.1,Zandvoort,North Holland
488,BUDDHA BEACH BUNGALOWS Adults Only,One-Bedroom Chalet,302.17,500,9.1,Zandvoort,North Holland
489,Queens Beachhouse,One-Bedroom Apartment,107.82,74,8.9,Zandvoort,North Holland
490,Studio Wijkhuizen,Twin Room with Private Bathroom,111.54,122,8.7,Zandvoort,North Holland
491,Hotel At Sea,Double Room with Terrace,152.86,500,8.9,Zandvoort,North Holland
492,STRAND 21 hotelchalets,Superior Family Room with Sea View,206.56,625,8.9,Zandvoort,North Holland
493,Boutique hotel Margretha,Superior Suite,208.21,500,8.8,Zandvoort,North Holland
494,Amsterdam Beach Hotel,Double Room,146.25,1415,8.0,Zandvoort,North Holland
495,Hotel Paradis,Standard Double or Twin Room with Balcony,164.51,500,8.2,Zandvoort,North Holland
496,Hofje van Maas,Small Double Room,99.72,208,7.9,Zandvoort,North Holland
497,Zaras Studios,Queen Studio,115.10,85,7.8,Zandvoort,North Holland
498,Beachhotel Zandvoort by Center Parcs,2-person Premium Hotelroom,133.82,4375,7.8,Zandvoort,North Holland
499,Hotel Zeespiegel,Double Room,107.77,2019,7.1,Zandvoort,North Holland
500,Palace Hotel Zandvoort,Twin room-Landside,175.88,660,7.2,Zandvoort,North Holland
501,Hotel Doppenberg,Junior Suite with Balcony,192.37,605,7.3,Zandvoort,North Holland
502,budget rooms Doppenberg,Budget Twin Room,118.38,220,6.8,Zandvoort,North Holland
503,Pension Marco,Double Room with Shared Bathroom,90.53,182,6.2,Zandvoort,North Holland
504,De Langenlee,Double Room with Private Bathroom,89.80,229,9.4,Zwolle,Overijssel
505,De Pelsertoren,Suite,107.77,712,9.0,Zwolle,Overijssel
506,Pillows Grand Boutique Hotel Ter Borch Zwolle,Deluxe Room,157.17,916,9.1,Zwolle,Overijssel
507,Librije's Hotel,Junior Suite,287.39,71,9.1,Zwolle,Overijssel
508,Thorbecke Canal View,Superior Twin Room with City View,98.79,236,8.5,Zwolle,Overijssel
509,B&B In de Kromme Jak,Double or Twin Room,102.38,349,8.5,Zwolle,Overijssel
510,Hotel Lumen Zwolle,Comfort Double or Twin Room,107.77,2931,8.5,Zwolle,Overijssel
511,Bilderberg Grand Hotel Wientjes,Classic Double Room,116.75,500,8.5,Zwolle,Overijssel
512,Apart! Food & Drinks Apartments,Deluxe Double Room,124.83,532,8.8,Zwolle,Overijssel
513,Van Der Valk Hotel Zwolle,Comfort Twin Room,125.73,787,8.7,Zwolle,Overijssel
514,Bnb de rode kamer,Double Room with Shared Bathroom,67.35,43,8.0,Zwolle,Overijssel
515,Bed & Breakfast 'Aan de IJssel',Double Room with Shared Shower and Toilet,71.84,142,8.3,Zwolle,Overijssel
516,B&B de Luwte Cottage,Comfort Double Room,79.93,151,8.1,Zwolle,Overijssel
517,Hotel Oldenburg,Standard Double Room with External Toilet,80.83,422,8.1,Zwolle,Overijssel
518,Hotel Fidder - Patrick's Whisky Bar,Twin Room,86.22,1537,8.2,Zwolle,Overijssel
519,Buitenplaats de Luwte,Deluxe Twin Room,93.85,316,8.2,Zwolle,Overijssel
520,Stadslogement Bij de Sassenpoort,Superior Apartment,97.89,232,8.4,Zwolle,Overijssel
521,Mercure Hotel Zwolle,Standard Double Room,112.26,1402,7.7,Zwolle,Overijssel
522,The Cabin at Zwolle Centraal,Double Room with Private Bathroom,67.35,149,7.2,Zwolle,Overijssel
523,Hanze Hotel Zwolle,Standard Twin Room,85.68,1095,7.2,Zwolle,Overijssel
524,Campanile Hotel & Restaurant Zwolle,Double Room,75.57,2071,6.4,Zwolle,Overijssel
