ID,Name,Type,Price,ReviewsCount,Rating,City,State
61,Boutique Nouveau Van Ham,Classic Double Room,104.93,1013,8.4,Breda,North Brabant
62,Ingenhousz Breda,Standard Suite,111.54,392,8.4,Breda,North Brabant
63,Van der Valk Hotel Breda,Comfort Double Room with Shower,125.73,500,8.0,Breda,North Brabant
64,Parkhotel Mastbosch Breda,Standard Twin Room,90.06,1136,7.7,Breda,North Brabant
65,Stadshotel De Klok,Standard Twin Room,120.70,800,7.9,Breda,North Brabant
66,Campanile Hotel & Restaurant Breda,Double Room,67.42,1123,7.2,Breda,North Brabant
67,Bastion Hotel Breda,Comfort Twin Room,79.93,500,7.4,Breda,North Brabant
68,Novotel Breda,Superior Double Room with Sofa Bed,97.89,1232,7.3,Breda,North Brabant
69,Premiere Classe Hotel Breda,Double Room,43.87,709,6.5,Breda,North Brabant
70,Hotel Arsenaal Delft,Double or Twin Room,145.94,108,9.2,Delft,South Holland
71,The Student Hotel Delft,Superior Queen Room,69.16,500,8.8,Delft,South Holland
72,WestCord Hotel Delft,Twin Standard,96.17,500,8.7,Delft,South Holland
73,Hotel de Koophandel,Double Room,107.77,1047,8.7,Delft,South Holland
74,Casa Julia,Deluxe Double Room,126.83,1136,8.7,Delft,South Holland
75,Luxurious loft with view walk city center,One-Bedroom Apartment,210.85,61,8.6,Delft,South Holland
76,De Vliegende Vos het geboortehuis van Johannes Vermeer,Family Suite,215.53,347,8.8,Delft,South Holland
77,City Center Penthouse With Balcony Delft,One-Bedroom Apartment,225.89,67,8.9,Delft,South Holland
78,Hotel Grand Canal,Small Double Room with Canal View,83.78,1069,8.4,Delft,South Holland
79,Hampshire Hotel - Delft Centre,Standard Twin Room,92.15,500,8.2,Delft,South Holland
80,Hotel Royal Bridges, Deluxe double or Twin Room,96.99,500,8.3,Delft,South Holland
81,Hotel de Plataan Delft Centrum,Basic Double Room,103.28,500,8.1,Delft,South Holland
82,Buitengoed De Uylenburg,Double Room,107.77,489,8.3,Delft,South Holland
83,ibis Styles Delft City Centre,Standard Double Room with City View,110.01,526,8.1,Delft,South Holland
84,Hotel Johannes Vermeer Delft,Deluxe Double Room,117.88,1562,8.3,Delft,South Holland
85,Lux Loft Apt View Walk city center,One-Bedroom Apartment,264.51,14,8.1,Delft,South Holland
86,Shanghai Hotel Holland,Double Room,77.25,1583,7.6,Delft,South Holland
87,Best Western Museumhotels Delft,Standard Twin Room,84.94,662,7.9,Delft,South Holland
88,Hotel Bridges House Delft,Deluxe Double Room with Shower,92.37,2171,7.9,Delft,South Holland
89,Campanile Hotel & Restaurant Delft,Double Room,60.67,1943,7.1,Delft,South Holland
90,Uylenhof Hotel,Double Room,133.82,677,9.2,Den Bosch,North Brabant
91,Boutique Hotel De Blauwe Pauw,Superior Twin Room,139.21,549,9.4,Den Bosch,North Brabant
92,Bossche Suites Stationsweg,Standard King Room,159.50,582,9.4,Den Bosch,North Brabant
93,Bossche Suites No2 - Verwersstraat,Studio,215.53,249,9.3,Den Bosch,North Brabant
94,CubaCasa,Deluxe Double Room with Balcony,98.34,252,8.6,Den Bosch,North Brabant
95,Hotel The Stamp,Superior Double Room,106.69,891,8.7,Den Bosch,North Brabant
96,Maison BON Apartments,Two-Bedroom Apartment,131.14,261,8.9,Den Bosch,North Brabant
97,The Duke Boutique Apartments,One-Bedroom Apartment,123.75,500,8.5,Den Bosch,North Brabant
98,Boutique hotel Jeroen,Small Double Room,134.43,95,8.5,Den Bosch,North Brabant
99,The Duke Boutique Hotel,Comfort Double Room,126.49,500,8.6,Den Bosch,North Brabant
100,Hotel 't Keershuys,Double Room,132.24,1143,8.9,Den Bosch,North Brabant
101,KASerne Boutique Hotel,Deluxe Double Room,155.19,64,8.7,Den Bosch,North Brabant
102,Kloosterhotel de Soete Moeder,Comfort Double or Twin Room with Private Bathroom,99.14,964,8.3,Den Bosch,North Brabant
103,"The Den, 's-Hertogenbosch, a Tribute Portfolio Hotel",Deluxe Twin Room,98.47,166,8.3,Den Bosch,North Brabant
104,Landgoed Huize Bergen Den Bosch - Vught,Double Room,112.62,500,8.0,Den Bosch,North Brabant
105,Best Western Plus City Centre Hotel Den Bosch,Comfort Twin Room,131.14,500,8.4,Den Bosch,North Brabant
106,Tussen Gracht en SintJan,Studio,160.75,158,8.0,Den Bosch,North Brabant
107,Mövenpick Hotel 's Hertogenbosch,Classic King Room,120.43,500,7.7,Den Bosch,North Brabant
108,Van der Valk Hotel 's-Hertogenbosch  Vught,Triple Room,130.22,500,7.9,Den Bosch,North Brabant
109,Mely's House,Deluxe Double Room (2 Adults + 1 Child),71.84,4,7.0,Den Bosch,North Brabant
110,Little Duke Hotel,Deluxe Double Room with Balcony,121.25,500,7.4,Den Bosch,North Brabant
111,Fletcher Hotel-Restaurant s-Hertogenbosch,Standard Double Room,70.95,996,6.5,Den Bosch,North Brabant
112,Campanile Hotel & Restaurant 's Hertogenbosch,Double Room,72.35,983,6.6,Den Bosch,North Brabant
113,"Hof, a luxury B&B in the center of Eindhoven",Deluxe Suite,144.60,500,9.7,Strijp, Eindhoven
114,Eindhoven4you,Twin Room with Bathroom,56.19,234,9.1,Strijp, Eindhoven
115,Kazerne,Deluxe King Room,230.35,63,9.1,Eindhoven City Centre, Eindhoven
116,cafe 't Vonderke,Deluxe Double or Twin Room,62.84,283,8.7,Strijp, Eindhoven
117,Queen Hotel,King Room,67.40,3075,8.8,Eindhoven City Centre, Eindhoven
118,Hotel Parkzicht Eindhoven,Comfort Double Room,68.57,500,8.6,Stratum, Eindhoven
119,The Student Hotel Eindhoven,Standard Queen Room,69.16,500,8.8,Eindhoven City Centre, Eindhoven
120,Hotel the Match,Standard Double Room,70.95,4566,8.7,Eindhoven City Centre, Eindhoven
121,Design Hotel Glow,Deluxe Twin Room,73.61,1375,8.5,Eindhoven City Centre, Eindhoven
122,Hotel Mariënhage,Monastery Mystery,100.86,2480,8.6,Eindhoven City Centre, Eindhoven
